fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:03:00.746247,Vienna,8.66,6.07,7.17,9.32,63,4.63,algo de nubes,48.2082,16.3738
2025-10-27T14:18:28.803707,Vienna,8.98,7.49,7.59,10.01,76,2.68,muy nuboso,48.2082,16.3738
2025-10-27T22:15:55.398734,Innere Stadt,9.58,4.79,8.15,10.48,74,14.75,cielo claro,48.2082,16.3738
2025-10-28T06:26:18.093542,Vienna,8.66,5.04,7.04,9.45,77,7.6,cielo claro,48.2082,16.3738
2025-10-28T06:40:39.738818,Vienna,8.84,5.39,7.6,9.45,75,7.2,cielo claro,48.2082,16.3738
2025-10-28T14:18:15.825624,Vienna,13.44,12.48,12.04,13.81,63,1.79,nubes,48.2082,16.3738
2025-10-28T22:16:57.547233,Vienna,13.42,12.59,11.99,14.05,68,5.66,cielo claro,48.2082,16.3738
2025-10-29T06:26:40.735909,Vienna,10.83,9.85,8.9,11.62,72,3.09,cielo claro,48.2082,16.3738
2025-10-29T06:45:35.376826,Vienna,10.76,9.77,9.26,12.28,72,2.57,cielo claro,48.2082,16.3738
2025-10-29T06:51:16.559044,Vienna,10.81,9.83,9.26,12.28,72,2.57,cielo claro,48.2082,16.3738
2025-10-29T06:58:11.140516,Vienna,11.44,10.49,9.82,12.7,71,2.57,cielo claro,48.2082,16.3738
2025-10-29T07:02:21.373217,Inner city,11.74,10.85,9.82,12.88,72,2.57,cielo claro,48.2082,16.3738
2025-10-29T07:09:53.478495,Vienna,11.97,11.1,9.95,13.19,72,2.57,cielo claro,48.2082,16.3738
2025-10-29T14:18:19.212883,Vienna,16.44,15.65,15.37,17.41,58,6.69,cielo claro,48.2082,16.3738
2025-10-29T22:16:34.068609,Vienna,8.7,6.9,7.05,10.99,84,3.09,cielo claro,48.2082,16.3738
2025-10-30T06:25:13.541624,Vienna,8.49,8.49,5.99,9.54,86,1.03,bruma,48.2082,16.3738
2025-10-30T14:17:21.252967,Vienna,15.47,14.82,14.03,16.29,67,13.41,muy nuboso,48.2082,16.3738
2025-10-30T22:16:22.732157,Vienna,8.46,6.05,6.25,9.54,83,4.12,cielo claro,48.2082,16.3738
2025-10-31T06:25:26.974318,Vienna,8.42,7.3,6.49,10.1,86,2.06,muy nuboso,48.2082,16.3738
2025-10-31T14:17:26.539767,Inner city,15.74,14.99,14.81,17.1,62,4.47,cielo claro,48.2082,16.3738
