fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:04:11.451116,Washington D.C.,6.39,6.39,4.94,6.84,88,0,cielo claro,38.9072,-77.0369
2025-10-27T14:19:42.317228,Washington D.C.,11.51,10.52,9.47,12.72,69,4.63,algo de nubes,38.9072,-77.0369
2025-10-27T22:17:06.483546,Washington D.C.,13.14,11.87,11.38,14.06,52,4.12,muy nuboso,38.9072,-77.0369
2025-10-28T06:27:31.926496,Washington D.C.,8.85,6.53,6.93,9.92,77,4.12,nubes,38.9072,-77.0369
2025-10-28T06:41:51.532184,Washington D.C.,8.69,6.33,6.93,9.8,78,4.12,nubes,38.9072,-77.0369
2025-10-28T14:19:32.125177,Washington D.C.,10.36,9.2,9.15,11.38,67,7.2,nubes dispersas,38.9072,-77.0369
2025-10-28T22:18:14.357478,Washington D.C.,12.15,11.12,11.11,12.9,65,8.75,muy nuboso,38.9072,-77.0369
2025-10-29T06:27:54.827081,Washington D.C.,9.22,7.52,7.99,10.45,73,3.09,muy nuboso,38.9072,-77.0369
2025-10-29T06:46:53.184286,Washington D.C.,8.8,7.02,7.7,10.15,75,3.09,muy nuboso,38.9072,-77.0369
2025-10-29T06:52:34.413977,Washington D.C.,8.77,6.98,7.33,10.27,75,3.09,nubes dispersas,38.9072,-77.0369
2025-10-29T06:59:24.230562,Washington D.C.,8.89,7.12,7.33,10.45,74,3.09,nubes dispersas,38.9072,-77.0369
2025-10-29T07:03:32.997470,Washington D.C.,9.04,6.54,7.33,10.27,73,4.63,nubes dispersas,38.9072,-77.0369
2025-10-29T07:11:05.125623,Washington D.C.,8.96,6.44,7.33,9.98,73,4.63,nubes dispersas,38.9072,-77.0369
2025-10-29T14:19:29.985410,Washington D.C.,10.56,9.6,9.44,11.37,74,4.12,nubes,38.9072,-77.0369
2025-10-29T22:17:50.243817,Washington D.C.,13.67,13.02,12.77,14.42,74,5.14,nubes,38.9072,-77.0369
2025-10-30T06:26:25.038680,Washington D.C.,11.89,11.48,10.97,12.99,90,5.81,lluvia de gran intensidad,38.9072,-77.0369
2025-10-30T14:18:34.610251,Washington D.C.,16.76,16.95,15.59,17.89,94,5.66,lluvia ligera,38.9072,-77.0369
2025-10-30T22:17:36.179040,Washington D.C.,16.45,15.98,14.85,17.39,70,4.12,nubes dispersas,38.9072,-77.0369
2025-10-31T06:26:37.720477,Washington D.C.,10.66,9.82,9,11.64,78,4.12,algo de nubes,38.9072,-77.0369
2025-10-31T14:18:40.082490,Washington D.C.,12.76,11.5,11.62,13.7,54,8.23,algo de nubes,38.9072,-77.0369
2025-10-31T22:17:29.617677,Washington D.C.,13.78,12.39,12.7,14.73,45,8.23,algo de nubes,38.9072,-77.0369
